sentence,label
"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",2
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,1
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,2
Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors .,1
Johnson Matthey profit falls but dividend rises,1
Sophos aims to raise $100m in London IPO,2
"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .",1
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,1
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",2
$MOS looking good here at $58.65. Calls are active in this month and weekly,2
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,1
"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",2
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,2
A quick `` one-stop-shop '' to understand the company .,1
"With the acquisition , the company will expand its offering to North , Central and South America , it said .",2
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,1
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,0
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,1
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,1
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",1
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",1
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,2
Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,1
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",1
$aapl high of day just hit. Back at it tomorrow.,2
"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",1
"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",2
Most of the dividend will go to the Grimaldi family .,1
"Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising .",1
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,2
"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",1
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",1
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",0
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",1
The dismissed staff members will now take the matter to court unless it can be settled outside .,1
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",1
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",1
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",2
easyJet leads Britain's FTSE lower as global bond rout resumes,0
$TSLA is now up 57% from its February low. Amazing rebound.,2
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",1
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,1
The deliveries are scheduled for the summer and autumn of 2008 .,1
Valga Lihatoostus markets its products under the Maks & Moorits trademark .,1
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,2
"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 .",2
"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .",2
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",0
"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",1
Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,2
"The sale will be finalized in September or October , the company said .",1
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",1
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",1
Aviva shuts Friends Life head office in rapid integration move,1
"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .",2
"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",1
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",1
Both companies will keep their commercial independence and continue to market their traditional products individually .,1
Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,2
The bridge will be built to the south of the existing bridge spanning the strait .,1
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",1
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",0
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",2
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",2
"Tesco set to sell Kipa, Giraffe businesses - Sky News",0
$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,2
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",2
1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .,1
"Today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them .",1
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",0
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,2
"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros .",1
Royal Dutch Shell profit rises; dividend up 4%,2
Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,1
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,0
`` Nokia is just interested in bring Nokia to the market . '',1
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",1
"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .",1
"When dialing in , the participants should quote 877417 as conference ID .",1
The cooperation will double The Switch 's converter capacity .,2
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",2
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,1
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",2
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",1
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,1
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",1
"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units .",1
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",2
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",2
"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",1
Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,2
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",1
$SPY wouldn't be surprised to see a green close,2
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,2
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",2
"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",1
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0
The company will release its 2010 results on 11 February 2011 .,1
Net sales in 2006 totaled EUR 302 million and the operating margin was 16 % .,1
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",2
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",1
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,0
$TSLA recall,0
"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",1
"Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors .",1
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,1
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",1
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",1
The new technology improves the glass quality and consistency while increasing throughput .,2
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,1
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,0
"The contract includes design , construction , delivery of equipment , installation and commissioning .",1
"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .",1
The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,1
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,1
Operating profit of the Asian plants grew markedly .,2
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,0
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,0
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",2
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,0
"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .",1
The representative body of Swedish Meats approved an improved offer from Finnish HK Ruokatalo to acquire the company .,2
$BBRY Ready for Take OFF!,2
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",2
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",0
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,2
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",2
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",0
"According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom .",1
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",2
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,0
RT @bman1 $LNG looks primed also $EGHT poised to run too...,2
A few employees would remain at the Oulu plant in support functions for other group units .,1
Auto Trader share price surges as company floats on LSE,2
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",2
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",1
The office space will rise above the remodeled Cannon Street underground station .,1
"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",1
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,2
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",1
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",1
"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",1
"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier .",2
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",2
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",1
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,1
Other potential clients include public administration organizations investing in utility networks and services .,1
"In 2008 , the deal is likely to bring savings of EUR 20mn-25mn .",2
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",0
"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",2
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",2
"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",1
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",1
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,2
"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .",2
"Citigroup , Inc NYSE : C , Deutsche Bank NYSE : DB and Pohjola Bank are lead managers for the sale .",1
"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",1
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,2
Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,1
The duration of the contract is 37 months .,1
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,1
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",1
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",2
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,2
@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,2
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",2
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",1
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',1
He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,1
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,1
"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .",1
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .,1
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",1
The results will enable the preparation of a conceptual plant design and capital estimates .,1
Arena Partners Oy is a development company for electronic business .,1
`` I 'm not sure what 's happening .,1
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,0
$PYPL great vol flow trade here.. Love this company long time.,2
"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",1
"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",2
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,0
The solution will be installed in the USA to support the North American operations of the customer .,1
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",2
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",0
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",0
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",2
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",2
The closing of such transaction took place today .,1
"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",1
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,2
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,2
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,2
Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,0
Royal Mail share price edges lower as group raises stamp price,0
TalkTalk hires BAE Systems to investigate cyber attack,0
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",1
"POYRY PLC Additional information by : Heikki Malinen , President and CEO , Poyry PLC tel. +358 10 33 21307 Poyry is a global expert in consulting and engineering .",1
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",2
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",2
Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,0
"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .",1
The company will build altogether 130 new substations by the end of this year .,1
"ALEXANDRIA , Va. , Oct. 23 -- Hans-Otto Scheck of Espoo , Finland , has developed a method of identifying remote radio units in a communication system .",1
The value of the contract is about EUR 27mn .,1
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,1
"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .",1
$ELN longs...congrats...another HOD,2
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",2
After 1 April 2007 Cencorp will not have any own employees in the territory .,1
"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network .",1
The total project duration is three years and it is valued at some EUR11 .5 m.,1
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,1
"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",1
The acquisition is part of Ramirent 's Central and Eastern European growth strategy .,1
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",2
"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",1
The company 's market share is continued to increase further .,2
"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday .",1
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2
Shire Sees Baxalta Deal Closing as Expected After New Rules,2
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",1
Finnish beverage company Olvi is one of the last listed companies in Finland that has not yet published its financial result for the second quarter of 2009 .,1
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",1
The final outcome of the rights offering is to be reported around 23 October 2009 .,1
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",2
"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",1
"The remaining amount will be funded through debt , the Danish bank said .",1
The shares subscribed will be eligible for trade on the following day from the registration .,1
"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou",2
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",1
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,0
"Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant .",1
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",1
The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,2
Horizonte acquires neighbouring Glencore nickel property in Brazil,2
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,0
"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B .",1
It inspects the companys strategic strengths and weaknesses .,1
The employee negotiations are to address measures needed to adjust the operations to the present production situation .,1
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",2
A 2001 agreement expired earlier this month .,1
Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,1
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",1
Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,1
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,1
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,2
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",2
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,1
It has80 branches in Finland with annual revenue in Finland of ?,1
The acquisition of +àlandsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,1
"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",1
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,1
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",1
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,1
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",1
Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,2
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",0
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",1
"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities .",1
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",1
"While the company did not indicate the level of investment in the unit , it said that has purchased the equipment of Nokia Corporation 's mobile phone R&D laboratory in Jyvaeskylae .",1
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,1
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",2
Metso will supply the equipment for two process lines at Northland Resources ' new Kaunisvaara iron ore project in Sweden which exploits Tapuli and Sahavaara iron ore deposits .,2
"Kemira 's R&D organization comprises approximately 750 people , the company said .",1
"The total number of voting rights is 74,612,523 .",1
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",2
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .,1
$JD down 20% in after-hour market. anyone care to explain why?,0
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",0
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,0
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",0
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",2
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",1
Export declined by 6 percent to 16.4 million liters .,0
Registration is required .,1
"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",1
"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx .",1
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",1
Nokia Siemens Networks has struggled to make a profit in the past two years .,1
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",1
GSK and Novartis complete deals to reshape both drugmakers,2
$aapl.  Test the high today and probably go beyond after hours...,2
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,1
The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District .,1
The transaction value is CAD 15 million approximately EUR 10 million .,1
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",0
RBS will reportedly appoint Howard Davies as its next chairman,1
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",0
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,2
